ID,Nodes,X lat,Y long,Adjacency,x,y,y
0,E&W Doors,39.9981101,-83.0082615,1,0,0,0
1,U.S. Bank,39.9984131,-83.0082429,0;2,790,0,0
2,Bookstore,39.9978656,-83.0823296,1;3,2568,0,0
3,Bookstore Stairs,39.9977551,-83.0082924,2;4;6;17,4185,0,0
4,Great Hall,39.9977592,-83.0083773,3;6,3903,-1591,1591
5,Multicultural,39.9976017,-83.008256,9;10,5602,-1134,1134
6,,39.9976962,-83.0083214,3;4;7,4185,-615,615
7,,39.9976701,-83.0083022,6;8;11,4972,-615,615
8,High Street Entrance,39.9976232,-83.0082783,7,4972,-755,755
9,Information Center,39.997634,-83.0082843,5;11,5602,-615,615
10,Multicultural Doors,39.9975659,-83.0082783,5,5712,-755,755
11,,,,7;9;12,5237,-615,
12,,,,11;13;14,5237,-2490,
13,PerformanceHall Doors,,,12,5837,-2490,
14,MainStairs,,,12;15,5237,-2836,
15,,,,14;16,4805,-2836,
16,Brutus,,,15;17,4805,-3355,
17,Bathrooms,,,16;3;18,4367,-3355,
18,smallStairs,,,17;19;21,4367,-4739,
19,unionMarket,,,20;18,3629,-4739,
20,ExpressOH,,,19;,3629,-5108,
21,,,,18;22;23;24,5351,-4739,
22,Basement Stairs,,,21,5351,-4493,
23,Elevator,,,21,5843,-4739,
24,BenAndArleneLoungue,,,21,5351,-4493,
